排序,平台名称,所属,行业,类别,网址,列表页URL,免登录看列表,需注册供应商,反爬,每天维修类公告估计,估计方法,证据URL,证据级别,核查状态,备注
19,江西省公共资源交易平台,江西省,综合,省ggzy,https://www.jxsggzy.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://www.jxsggzy.cn/,二手（未原样核）,网址来自搜索结果；可访问性没查,另有 ggzy.jiangxi.gov.cn 政府域名同名平台，未打开核实两者关系
20,河北省全国公共资源交易平台,河北省,综合,省ggzy,https://szj.hebei.gov.cn/hbggfwpt/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://szj.hebei.gov.cn/hbggfwpt/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
21,河南省公共资源交易中心,河南省,综合,省ggzy,https://hnsggzyjy.henan.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://hnsggzyjy.henan.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
22,浙江省公共资源交易服务平台系统,浙江省,综合,省ggzy,https://ggzy.zj.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://ggzy.zj.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
23,海南省公共资源交易服务中心,海南省,综合,省ggzy,https://ggzy.hainan.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://ggzy.hainan.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
24,湖北省公共资源电子交易服务系统,湖北省,综合,省ggzy,https://www.hbggzyfwpt.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://www.hbggzyfwpt.cn/,二手（未原样核）,网址来自搜索结果；可访问性没查,域名非 gov.cn，未打开核实
25,湖南省公共资源交易中心,湖南省,综合,省ggzy,https://ggzy.hunan.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://ggzy.hunan.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
26,甘肃省公共资源交易网,甘肃省,综合,省ggzy,https://ggzyjy.gansu.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://ggzyjy.gansu.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
27,福建省公共资源交易电子公共服务平台,福建省,综合,省ggzy,https://ggzyfw.fujian.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://ggzyfw.fujian.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
28,西藏自治区公共资源交易平台,西藏自治区,综合,省ggzy,https://ggzy.xizang.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://ggzy.xizang.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
29,贵州省公共资源交易云,贵州省,综合,省ggzy,https://ggzy.guizhou.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://ggzy.guizhou.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
30,辽宁省公共资源交易中心,辽宁省,综合,省ggzy,https://ggzy.ln.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://ggzy.ln.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,搜索摘要还提及辽宁省公共资源交易一张网电子化平台 www.lnsggzy.com，未打开核实
31,重庆市公共资源交易网,重庆市,综合,省ggzy,https://www.cqggzy.com/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://www.cqggzy.com/,二手（未原样核）,网址来自搜索结果；可访问性没查,域名非 gov.cn；另有政府域名 重庆市公共资源交易监督网 ggzyjyjgj.cq.gov.cn，未打开核实两者关系
32,陕西省公共资源交易中心,陕西省,综合,省ggzy,https://www.sxggzyjy.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://www.sxggzyjy.cn/index.html,二手（未原样核）,网址来自搜索结果；可访问性没查,域名非 gov.cn，未打开核实
33,青海公共资源交易网,青海省,综合,省ggzy,https://www.qhggzyjy.gov.cn/ggzy/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://www.qhggzyjy.gov.cn/ggzy/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
34,黑龙江公共资源交易网,黑龙江省,综合,省ggzy,https://ggzyjyw.hlj.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://ggzyjyw.hlj.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
35,上海市建设工程交易服务中心（上海公共资源交易相关）,上海市,综合,省工程交易中心,https://www.shcpe.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://www.shcpe.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,未搜到明确名为“上海市公共资源交易中心”的统一官方域名，此为搜索结果中最相关的政府侧公共资源交易服务网站；另有 zjw.sh.gov.cn/gcztb 工程招投标栏目；修正：是建设工程交易中心，不是省 ggzy；上海 ggzy 统一入口未搜到
36,云南省政府采购网,云南省,工业,省政府采购网,http://www.ccgp-yunnan.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,http://www.ccgp-yunnan.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
37,内蒙古自治区政府采购网,内蒙古自治区,工业,省政府采购网,https://www.ccgp-neimenggu.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://www.ccgp-neimenggu.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
38,四川政府采购网,四川省,工业,省政府采购网,https://www.ccgp-sichuan.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://www.ccgp-sichuan.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
39,山东省政府采购信息公开平台,山东省,工业,省政府采购网,http://www.ccgp-shandong.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,http://www.ccgp-shandong.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,该链接为此前搜索“山东省公共资源交易网 官网”结果中附带出现
40,山西省政府采购网,山西省,工业,省政府采购网,http://www.ccgp-shanxi.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,http://www.ccgp-shanxi.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
41,河北省政府采购网,河北省,工业,省政府采购网,http://www.ccgp-hebei.gov.cn/hd/hd/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,http://www.ccgp-hebei.gov.cn/hd/hd/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,搜索结果给出的入口 hebeicg.ccpc360.com 非 gov.cn 官方域名，另一结果 www.ccgp-hebei.gov.cn/hd/hd/ 未见到直接的顶级官网首页确认，未核实到明确统一官网，故留空；修正：官方 ccgp-hebei.gov.cn 链接原样出现在搜索结果中，与其余 6 个 ccgp-省 同一标准收录；首页未核
42,河南省政府采购网,河南省,工业,省政府采购网,http://www.ccgp-henan.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,http://www.ccgp-henan.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
43,辽宁政府采购网,辽宁省,工业,省政府采购网,https://www.ccgp-liaoning.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://www.ccgp-liaoning.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
44,广东省政府采购中心/公共资源交易平台,广东省,综合,省政府采购网,http://gpcgd.gd.gov.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,http://gpcgd.gd.gov.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,搜索摘要称该网站由广东省公共资源交易中心运营，未搜到独立命名的“广东省公共资源交易中心”官方域名；修正：gpcgd 为省政府采购中心
45,万华电子招标投标交易网,万华化学,化工,集团SRM,https://ebidding.whchem.com/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://ebidding.whchem.com/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,搜索摘要提及招标文件仅在该网站在线发售，需注册审核后报名投标，未打开核实
46,中国中化电子招投标平台,中国中化（中化商务）,化工,集团SRM,https://ebid.sinochemitc.com/web-portal/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://ebid.sinochemitc.com/web-portal/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
47,中国化学电子招标投标交易平台,中国化学工程集团,化工,集团SRM,https://bid.cncecyc.com/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://bid.cncecyc.com/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,覆盖石油化工、煤化工等化学工程招标，非中国化工集团(ChemChina)本身，注意区分
48,中国化工集团电商平台,中国化工集团（ChemChina）,化工,集团SRM,https://e-chemchina.com/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://e-chemchina.com/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
49,中国海洋石油集团采办业务管理与交易系统,中海油,化工,集团SRM,https://buy.cnooc.com.cn/cbjyweb/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://buy.cnooc.com.cn/cbjyweb/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
50,中国石化电子招标投标交易网,中国石化,化工,集团SRM,https://ebidding.sinopec.com/TPWeb4AAA/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://ebidding.sinopec.com/TPWeb4AAA/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
51,中国石油招标投标网,中国石油,化工,集团SRM,https://www.cnpcbidding.com/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://www.cnpcbidding.com/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
52,易派客,中国石化,化工,集团SRM,https://bidding.epec.com/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,http://www.sasac.gov.cn/n2588020/n2877928/n4511638/c4613049/content.html,二手（未原样核）,网址来自搜索结果；可访问性没查,url应为易派客官方域名，搜索结果显示中石化物资电子招投标交易网另有 https://bidding.epec.com/ 及 https://ebidding.sinopec.com/TPWeb4AAA/，均属中石化体系，此处以epec相关链接为准；未打开逐一核实各域名归属关系；修正：原记录 url 误写为 ouyeel.com（欧冶，属宝武）；子 agent 备注称搜索结果显示 bidding.epec.com / ebidding.sinopec.com，未原样核
53,荣盛石化电商平台,荣盛石化（含浙石化、中金石化）,化工,集团SRM,https://mall.rong-sheng.com/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://mall.rong-sheng.com/Home/Tendernotice,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
54,中国五矿集团供应链管理平台,中国五矿集团,有色,集团SRM,https://ec.minmetals.com.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://ec.minmetals.com.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
55,中国有色集团采购招标电子商务平台,中国有色矿业集团,有色,集团SRM,http://ecp.cnmc.com.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,http://ecp.cnmc.com.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
56,中国黄金电子招标商务平台,中国黄金集团,有色,集团SRM,https://jzcg.chinagoldgroup.com/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://jzcg.chinagoldgroup.com/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
57,中铝集团绿星链通招标平台,中国铝业（中铝集团）,有色,集团SRM,https://zb.chinalco.com.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://zb.chinalco.com.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,另有中铝集团电子招投标平台eb.chinalco.com.cn及电子采购交易系统e-al.chinalco.com.cn，疑为同集团不同子系统，未逐一核实关系
58,山东黄金供应链管理系统招标采购平台,山东黄金集团,有色,集团SRM,https://scm.sd-gold.com/ierp/login.html,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://scm.sd-gold.com/ierp/login.html,二手（未原样核）,网址来自搜索结果；可访问性没查,该域名由搜索摘要文字给出，未在链接列表原文中直接出现，未打开核实是否可访问；修正：同上
59,江西铜业集团采购管理系统,江西铜业集团,有色,集团SRM,http://ec.jxcc.com/web/index,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,http://ec.jxcc.com/web/index,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
60,紫金矿业招投标平台,紫金矿业集团,有色,集团SRM,https://www.zjky.cn/site/Bidding.jsp,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://www.zjky.cn/site/Bidding.jsp,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
61,金川集团电子招标投标交易平台,金川集团,有色,集团SRM,http://ebidding.jnmc.com/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,http://ebidding.jnmc.com/,二手（未原样核）,网址来自搜索结果；可访问性没查,该域名由搜索摘要文字给出，未在链接列表原文中直接出现，未打开核实是否可访问；修正：域名仅由搜索摘要文字给出，未在链接列表中原样出现
62,铜陵有色集团电子采购（招投标）系统,铜陵有色集团,有色,集团SRM,https://ec.tlys.cn:10000/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://ec.tlys.cn:10000/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
63,中国建材集团招标采购管理平台,中国建材集团,水泥,集团SRM,https://tendering.cnbm.com.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://tendering.cnbm.com.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
64,中国建材集团采购平台,中国建材集团,水泥,集团SRM,https://c.cnbm.com.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://c.cnbm.com.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
65,华润守正电子招标平台,华润集团（含华润水泥）,水泥,集团SRM,http://www.crpsz.com/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,http://www.crpsz.com/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,搜索结果显示华润守正另有www.szecp.com.cn域名，称将启用新网站，未逐一核实两域名关系
66,台泥阳光采购平台,台泥集团（TCC）,水泥,集团SRM,https://ebidding.taiwancement.com/ebidding/?comArea=tcc,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://ebidding.taiwancement.com/ebidding/?comArea=tcc,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,另有台泥大陆专区 comArea=tcc_cn
67,天山水泥招标采购平台,新疆天山水泥（中国建材/天山股份）,水泥,集团SRM,https://www.tscgw.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://www.tscgw.cn/Page/FrmTenderAnnouncementDetail.aspx?FAnnouncementID=1001961380&FProjectID=1036680880&FModelCategoryID=22,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
68,海螺阳光智慧采购平台,海螺集团,水泥,集团SRM,https://srm.chinaconch.com/oauth/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://srm.chinaconch.com/oauth/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,搜索结果亦提及“海螺物资阳光采购平台”ygcg.conch.cn及“海螺集团招采平台”hlzc.chinaconch.com，疑为同集团多平台/曾用域名，未逐一打开核实
69,红狮招投标平台,红狮控股集团,水泥,集团SRM,https://ztb.hongshijt.com/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://ztb.hongshijt.com/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
70,金隅集团阳光招采平台,金隅集团/金隅冀东,水泥,集团SRM,https://www.bbmgzc.com/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://www.bbmgzc.com/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,搜索摘要称旧平台cg.jdsn.com.cn已于2023年5月31日将冀东水泥所属企业业务迁移至此新平台，未打开核实迁移细节
71,中国三峡集团电子采购平台,三峡集团,电力,集团SRM,https://eps.ctg.com.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://eps.ctg.com.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
