省份,地区级别,类型,工种,单位,价格,纳入比较,口径,发布日期,来源URL,来源类型,一手二手,证据等级,原文摘录
广东,市级(广州),市场劳务官方,电焊工,元/工日,295-365,是,含工资性收入/社保/公积金/工会经费/教育经费/福利费；不含管理费/利润/税金；8小时=1工日（据穗建造价〔2026〕65号摘要）,2026-04(穗建造价〔2026〕49号),https://zfcj.gz.gov.cn/attachment/8/8023/8023199/10814430.pdf,官方,一手,搜索摘要-未开原文,2026年4月：295-365
广东,市级(广州),市场劳务官方,管工,元/工日,280-345,是,含工资性收入/社保/公积金/工会经费/教育经费/福利费；不含管理费/利润/税金；8小时=1工日（据穗建造价〔2026〕65号摘要）,2026-04(穗建造价〔2026〕49号),https://zfcj.gz.gov.cn/attachment/8/8023/8023199/10814430.pdf,官方,一手,搜索摘要-未开原文,管工工资价格范围（元/工日）：2026年4月：280-345
广东,市级(广州),市场劳务官方,电焊工,元/工日,290-360,是,含工资性收入/社保/公积金/工会经费/教育经费/福利费；不含管理费/利润/税金；8小时=1工日（据穗建造价〔2026〕65号摘要）；非官方镜像，月份归属存疑,2026-05(穗建造价〔2026〕58号),https://www.gzsznjz.com/uploadfiles/2026/06/20260616223127777.pdf,非官方(转载官方),二手,搜索摘要-未开原文,电焊工：290-360元
广东,市级(广州),市场劳务官方,电工,元/工日,280-335,是,含工资性收入/社保/公积金/工会经费/教育经费/福利费；不含管理费/利润/税金；8小时=1工日（据穗建造价〔2026〕65号摘要）；非官方镜像,2026-05,https://www.gzsznjz.com/uploadfiles/2026/06/20260616223127777.pdf,非官方(转载官方),二手,搜索摘要-未开原文,电工：280-335元
广东,市级(广州),市场劳务官方,架子工,元/工日,290-370,是,含工资性收入/社保/公积金/工会经费/教育经费/福利费；不含管理费/利润/税金；8小时=1工日（据穗建造价〔2026〕65号摘要）；非官方镜像,2026-05,https://www.gzsznjz.com/uploadfiles/2026/06/20260616223127777.pdf,非官方(转载官方),二手,搜索摘要-未开原文,架子工（脚手架工）：290-370元
广东,市级(广州),市场劳务官方,普工,元/工日,220-260,是,含工资性收入/社保/公积金/工会经费/教育经费/福利费；不含管理费/利润/税金；8小时=1工日（据穗建造价〔2026〕65号摘要）；非官方镜像,2026-05,https://www.gzsznjz.com/uploadfiles/2026/06/20260616223127777.pdf,非官方(转载官方),二手,搜索摘要-未开原文,普工：220-260元
湖北,市级(武汉),市场劳务,电焊工(集体协商最低日工资),元/天,280,否,最低标准不是均价；8小时,2026-08-27,https://news.qq.com/rain/a/20260829A089GT00,非官方,二手,搜索摘要-未开原文,电焊工最低日薪为280元（8小时工作时长）
湖北,市级(武汉),市场劳务,普工(集体协商最低日工资),元/天,189,否,最低标准,2026-08-27,https://news.qq.com/rain/a/20260828A0BEWS00,非官方,二手,搜索摘要-未开原文,普工每天不得少于189元
湖北,市级(武汉),市场劳务,建筑业月最低工资,元/月,2880,否,最低标准；2023年为2507,2026-08,https://news.qq.com/rain/a/20260831A05JV000,非官方,二手,搜索摘要-未开原文,行业最低工资标准上调至2880元
湖北,市级(武汉),市场招聘,焊工(机械厂),元/天,300-420,是,8小时；来源条目存疑,2026,https://m.qushigong.com/zhaogong/hb/z13752310.html,非官方,二手,搜索摘要-未开原文,武汉机械厂招焊工的日工资为300-420元/天（8个小时）
湖北,市级(武汉),市场招聘,焊工(汽配厂),元/天,350,是,包吃住,2026前后,https://m.qushigong.com/zhaogong/hb/z13752310.html,非官方,二手,搜索摘要-未开原文,350元/天包吃住汉南汽配厂招聘焊工
湖北,市级(武汉),市场招聘,电焊工,元/月,7500-9000,是,来源条目存疑,2026,https://www.zhaopin.com/zhaopin/a533df4d34ca421e8de5b3c38e02e491/,非官方,二手,搜索摘要-未开原文,武汉地区电焊工的月工资待遇大约在7500-9000元/月
湖北,市级(武汉),市场招聘,焊工(1-3年经验),元/月,6011,是,商业薪资报告,2025,https://docs.ihr360.com/salary-report/830990,非官方,二手,搜索摘要-未开原文,1-3年经验…月薪6011元
湖北,市级(武汉),市场招聘,焊工(3-5年经验),元/月,6640,是,商业薪资报告,2025,https://docs.ihr360.com/salary-report/830990,非官方,二手,搜索摘要-未开原文,3-5年…6640元
湖北,市级(武汉),市场招聘,焊工(10年以上经验),元/月,7372,是,商业薪资报告,2025,https://docs.ihr360.com/salary-report/830990,非官方,二手,搜索摘要-未开原文,10年以上…7372元
湖北,市级(武汉),市场招聘,数控车床工,元/月,6000-8000,是,3-5年经验；来源条目存疑,2025-2026,https://m.58.com/wh/zpjixie/49921281663513x.shtml,非官方,二手,搜索摘要-未开原文,数控车床岗位薪资范围为6000-8000元
湖南,省级,市场招聘,无损检测员(探伤),元/月,6000-15000,是,69.8%岗位区间；1-3年经验9.0K；2025较2024降11%,2025,https://www.jobui.com/salary/hunan-wusunjiance/,非官方,二手,搜索摘要-未开原文,69.8%岗位拿6-15K/月
湖南,市级(长沙),市场招聘,焊工(工程机械企业),元/月,9000-10000,是,单条招聘；来源条目存疑,2026,https://www.liepin.com/zpyahuhanhangong/,非官方,二手,搜索摘要-未开原文,月薪9-10k元
湖南,市级(长沙),市场招聘,焊工/电工(人社局企业岗位需求表),元/月,6000-8000,是,单企业报价,2025Q1,https://file.m12333.cn/upfile/download/028b0b47-f016-2bcc-ef53-e2b39e8b6141.pdf,非官方(转载人社局),二手,搜索摘要-未开原文,焊工和电工的薪资待遇均为6000-8000元
湖南,市级(长沙),市场招聘,数控立车工,元/月,8000-9000,是,税前；上6休1；来源条目存疑,2025-2026,https://www.zhaopin.com/zhaopin/6863b6b597ed406cb7549ccfb33ab68b/,非官方,二手,搜索摘要-未开原文,税前8000-9000元
江西,市级(南昌),市场招聘,焊工(招聘标题),元/月,10000,是,单条招聘,2026,https://www.zhaopin.com/jobdetail/CC267046780J40645383806.htm,非官方,二手,搜索摘要-未开原文,急聘焊工-月入10000
安徽,市级(合肥),市场招聘,钢结构焊工(招聘标题),元/月,10000,是,包住；单条招聘,2026,https://www.zhaopin.com/jobdetail/CC619072720J40832999116.htm,非官方,二手,搜索摘要-未开原文,急招焊工 月入10000（包住）
河南,市级(郑州),市场招聘,焊工年薪P50,元/年,67728,是,商业报告；来源条目存疑,2025,https://docs.ihr360.com/salary-report/723766,非官方,二手,搜索摘要-未开原文,50%的焊工年薪低于67728元
河南,市级(郑州),市场招聘,焊工年薪P75,元/年,83055,是,商业报告；来源条目存疑,2025,https://docs.ihr360.com/salary-report/723766,非官方,二手,搜索摘要-未开原文,75%低于83055元
全国,全国,市场招聘,焊工,元/月,6000-10000,是,职友集60.5%岗位区间,2025-2026,https://www.jobui.com/salary/quanguo-hangong/,非官方,二手,搜索摘要-未开原文,60.5%的岗位拿6-10K/月
全国,全国,市场招聘,钳工技师,元/月,6000-10000,是,职友集59%岗位区间,2025-2026,https://www.jobui.com/salary/quanguo-qiangongjishi/,非官方,二手,搜索摘要-未开原文,59%的岗位月薪在6-10K
全国,全国,市场招聘,机修钳工,元/月,7000-10000,是,来源条目存疑,未说明,https://baike.baidu.com/item/%E6%9C%BA%E4%BF%AE%E9%92%B3%E5%B7%A5/5474993,非官方,二手,搜索摘要-未开原文,机修钳工的工资一般在7000-10000元之间
全国,全国,市场招聘,探伤工,元/月,6000-10000,是,64.1%岗位区间；来源条目存疑,2025,https://www.jobui.com/gangwei/tanshanggong/,非官方,二手,搜索摘要-未开原文,64.1%的岗位拿6-10K/月
全国,未说明,市场招聘,二保焊工,元/天,400-450,是,地区不明；来源条目存疑,2026,https://www.job5156.com/index/zhaopin_zwhangong/,非官方,二手,搜索摘要-未开原文,二保焊工400-450元/天
全国,全国,市场劳务,吊车司机(二三线城市),元/天,700-800,否,驾驶员口径，非起重/司索工,2025,https://m.sohu.com/a/865189786_120136258/,非官方,二手,搜索摘要-未开原文,吊车司机日薪能稳定在700-800元
全国,全国,统计参照,生产制造及有关人员年平均工资,元/年,80739,否,统计局城镇单位口径,2025年数据(2026-05发布),https://finance.sina.com.cn/wm/2026-05-16/doc-inhxzzur2844802.shtml,非官方(转载统计局),二手,搜索摘要-未开原文,生产制造及有关人员年平均工资为80739元
