source,inner_path,output_path,bytes,sha256
KMFA_Stage1_Closure_Pack_v6_ZERO_DELTA_QUALITY_FINAL.zip,kmfa_stage1_v6_final/01_UIUX与报告预览/KMFA_经营分析报告预览_v3_blue.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage1_Closure_Pack_v6_ZERO_DELTA_QUALITY_FINAL__kmfa_stage1_v6_final__01_UIUX与报告预览__KMFA_经营分析报告预览_v3_blue.html,10640,9f4bcf21a9d9c6bd758f583da8ab158d41a0969899592eeebfa1955dcae3bb22
KMFA_Stage1_Closure_Pack_v6_ZERO_DELTA_QUALITY_FINAL.zip,kmfa_stage1_v6_final/01_UIUX与报告预览/KMFA_项目成本专题报告预览_v0_2_blue.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage1_Closure_Pack_v6_ZERO_DELTA_QUALITY_FINAL__kmfa_stage1_v6_final__01_UIUX与报告预览__KMFA_项目成本专题报告预览_v0_2_blue.html,13949,c97d2ce2f7ca38a826fdd02f15211939c77d3cec675049432682a607bc7463c6
KMFA_Stage1_Closure_Pack_v6_ZERO_DELTA_QUALITY_FINAL.zip,kmfa_stage1_v6_final/01_UIUX与报告预览/KMFA_项目成本专题报告预览_v0_6_blue_zero_delta.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage1_Closure_Pack_v6_ZERO_DELTA_QUALITY_FINAL__kmfa_stage1_v6_final__01_UIUX与报告预览__KMFA_项目成本专题报告预览_v0_6_blue_zero_delta.html,6533,50ae7eaa079bf1b7d56a659c6d910c7793a7c00da4ceb3f1ee6b3796db9d67b5
KMFA_Stage1_Closure_Pack_v6_ZERO_DELTA_QUALITY_FINAL.zip,kmfa_stage1_v6_final/index.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage1_Closure_Pack_v6_ZERO_DELTA_QUALITY_FINAL__kmfa_stage1_v6_final__index.html,2120,0aa9e880c8ae5bfadcd596793579a6c7420bd6c89ecb077f478aef24392d527d
KMFA_Stage1_Preview_Pack_v2.zip,kmfa_stage1_v2/KMFA_Dashboard_v2.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage1_Preview_Pack_v2__kmfa_stage1_v2__KMFA_Dashboard_v2.html,37466,7e33f79487324750d8b658781fd6471f8093fdd676d31b8b08808f419689811b
KMFA_Stage1_Preview_Pack_v2.zip,kmfa_stage1_v2/KMFA_Report_Preview_v1.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage1_Preview_Pack_v2__kmfa_stage1_v2__KMFA_Report_Preview_v1.html,19981,3c72a9d21ef077c35a7d9c39df60e516abaa2076d289ad1a7531d141a56a27e2
KMFA_Stage1_Preview_Pack_v3.zip,kmfa_stage1_v3/KMFA_System_Dashboard_v3.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage1_Preview_Pack_v3__kmfa_stage1_v3__KMFA_System_Dashboard_v3.html,46275,4a4c82b0ea876db8145ce42285eb1a7d5b786d28275994bb60695e4fb5e17be3
KMFA_Stage1_Preview_Pack_v3.zip,kmfa_stage1_v3/KMFA_Management_Report_Preview_v2.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage1_Preview_Pack_v3__kmfa_stage1_v3__KMFA_Management_Report_Preview_v2.html,20113,280cf4bbb42421a7462cfaf3223bce24686712fff0ee75b4de87c281d18cac18
KMFA_Stage1_Preview_Pack_v3.zip,kmfa_stage1_v3/KMFA_Data_Source_Check_Board_v0_2.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage1_Preview_Pack_v3__kmfa_stage1_v3__KMFA_Data_Source_Check_Board_v0_2.html,10426,136c724b6f8b505b19aca2a32014b3b6960b866bc6e56457119f634492961395
KMFA_Stage2_Ring2_Reverse_Benchmark_Research_Pack_v0_1.zip,kmfa_stage2_ring2/KMFA_Resolution_Workbench_Preview_v0_1.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage2_Ring2_Reverse_Benchmark_Research_Pack_v0_1__kmfa_stage2_ring2__KMFA_Resolution_Workbench_Preview_v0_1.html,10957,ffeda7f89bcd8b7ae952c65fd6cf0f51b835162463516a29da754229f3f809ac
KMFA_Stage2_Ring3_TaskPack_Control_Pack_v0_1.zip,kmfa_stage2_ring3_taskpack_control_v0_1/references_stage1_stage2/kmfa_stage1_v6_zero_tolerance_final__index.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage2_Ring3_TaskPack_Control_Pack_v0_1__kmfa_stage2_ring3_taskpack_control_v0_1__references_stage1_stage2__kmfa_stage1_v6_zero_tolerance_final__index.html,5085,8e340706504cd8f6b8873aec5f25986f5f6ac252364dcc6a11abb2c3a0076941
KMFA_Stage2_Ring3_TaskPack_Control_Pack_v0_1.zip,kmfa_stage2_ring3_taskpack_control_v0_1/references_stage1_stage2/kmfa_stage2_ring2__KMFA_Resolution_Workbench_Preview_v0_1.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage2_Ring3_TaskPack_Control_Pack_v0_1__kmfa_stage2_ring3_taskpack_control_v0_1__references_stage1_stage2__kmfa_stage2_ring2__KMFA_Resolution_Workbench_Preview_v0_1.html,10957,ffeda7f89bcd8b7ae952c65fd6cf0f51b835162463516a29da754229f3f809ac
KMFA_Stage2_Ring3_TaskPack_Control_Pack_v0_1.zip,kmfa_stage2_ring3_taskpack_control_v0_1/uiux_preview/KMFA_Stage2_Ring3_Control_Board_v0_1.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage2_Ring3_TaskPack_Control_Pack_v0_1__kmfa_stage2_ring3_taskpack_control_v0_1__uiux_preview__KMFA_Stage2_Ring3_Control_Board_v0_1.html,5590,f71195b1f0a190c5027eaa2594776955b6330a44b35caec46058e688818679dd
KMFA_Stage2_Ring4_A0_Golden_Baseline_ZERO_DELTA_Pack_v0_6.zip,kmfa_stage2_ring4/uiux/KMFA_Resolution_Workbench_v0_4.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage2_Ring4_A0_Golden_Baseline_ZERO_DELTA_Pack_v0_6__kmfa_stage2_ring4__uiux__KMFA_Resolution_Workbench_v0_4.html,4123,29938f0922a0af13f2ef79337978605ceb22f84c5fad79ce7a8a5c9ad1550029
KMFA_Stage2_Ring4_A0_Golden_Baseline_ZERO_DELTA_Pack_v0_6.zip,kmfa_stage2_ring4/uiux/KMFA_Stage2_Ring4_Control_Board_v0_4.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage2_Ring4_A0_Golden_Baseline_ZERO_DELTA_Pack_v0_6__kmfa_stage2_ring4__uiux__KMFA_Stage2_Ring4_Control_Board_v0_4.html,1524,6b026cc91729a000af91d6d192e6d3f3c3067d7eecf9f868e00280b61b1c869d
KMFA_Stage2_Ring5_Final_Codex_TaskPack_QUALITY_FIRST_v0_9.zip,05_uiux_preview/KMFA_Ring5_Final_Task_Control_Board.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage2_Ring5_Final_Codex_TaskPack_QUALITY_FIRST_v0_9__05_uiux_preview__KMFA_Ring5_Final_Task_Control_Board.html,4035,dada417f47d0710944fc0d3e7041ba16ad27cccccc395954711b6af99827dd9b
KMFA_Stage3_Codex_Execution_Pack_v1_0_QUALITY_LOCKED.zip,kmfa_stage3_execution_pack_v1_0/04_UIUX与报告预览/KMFA_阶段三任务控制台预览_v1_0.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_Stage3_Codex_Execution_Pack_v1_0_QUALITY_LOCKED__kmfa_stage3_execution_pack_v1_0__04_UIUX与报告预览__KMFA_阶段三任务控制台预览_v1_0.html,2972,874a30f39ff8d3a768352d46572df396987788d5f11cb55a556801c622b225c5
loose:/mnt/data,KMFA_CxO_Dashboard_Preview.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/KMFA_CxO_Dashboard_Preview.html,13722,8b7c37898d3bde3e5804b98f5df41961b01c019e03e0c532283b982172e251cc
loose:/mnt/data,kmfa_stage1_v2/KMFA_Dashboard_v2.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/kmfa_stage1_v2__KMFA_Dashboard_v2.html,37466,7e33f79487324750d8b658781fd6471f8093fdd676d31b8b08808f419689811b
loose:/mnt/data,kmfa_stage1_v2/KMFA_Report_Preview_v1.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/kmfa_stage1_v2__KMFA_Report_Preview_v1.html,19981,3c72a9d21ef077c35a7d9c39df60e516abaa2076d289ad1a7531d141a56a27e2
loose:/mnt/data,kmfa_stage1_v3/KMFA_Data_Source_Check_Board_v0_2.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/kmfa_stage1_v3__KMFA_Data_Source_Check_Board_v0_2.html,10426,136c724b6f8b505b19aca2a32014b3b6960b866bc6e56457119f634492961395
loose:/mnt/data,kmfa_stage1_v3/KMFA_Management_Report_Preview_v2.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/kmfa_stage1_v3__KMFA_Management_Report_Preview_v2.html,20113,280cf4bbb42421a7462cfaf3223bce24686712fff0ee75b4de87c281d18cac18
loose:/mnt/data,kmfa_stage1_v3/KMFA_System_Dashboard_v3.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/kmfa_stage1_v3__KMFA_System_Dashboard_v3.html,46275,4a4c82b0ea876db8145ce42285eb1a7d5b786d28275994bb60695e4fb5e17be3
loose:/mnt/data,kmfa_stage1_v4/KMFA_MVP_Data_Readiness_Board_v0_3.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/kmfa_stage1_v4__KMFA_MVP_Data_Readiness_Board_v0_3.html,7796,48a0ac5709d13155f843fe15d7dbed28428279d5653a518186bc33c5ed77f1a0
loose:/mnt/data,kmfa_stage1_v4/KMFA_Project_Cost_Report_Preview_v0_1.html,20_HTML_UIUX_报告预览/02_前序HTML完整归档/kmfa_stage1_v4__KMFA_Project_Cost_Report_Preview_v0_1.html,8954,29676eb14b924e27d58c728c7c37ced5bbb5f410e7748662a6efd1e2a29e41c1
