source_id,source_name,data_package,file_name_pattern,expected_frequency,owner_role,current_status,status_color,blocks_reports,metadata_path,evidence_required,notes
tax,税务/数电票,授权与连接,tax_auth_manifest.json,monthly,system_admin,PARTIAL,yellow,"CTO",metadata/sources/source_registry.yaml,authorization_manifest,"第一阶段建议人工导出上传"
tax,税务/数电票,销项发票,tax_output_invoice_YYYYMM.xlsx,monthly,CTO_Tax,PARTIAL,yellow,"CTO,CFO",metadata/schema_maps/tax_invoice_map.yaml,file_hash+row_count,"税率、开票、收入确认复核"
tax,税务/数电票,进项发票,tax_input_invoice_YYYYMM.xlsx,monthly,CTO_Tax,PARTIAL,yellow,"CTO,CFO",metadata/schema_maps/tax_invoice_map.yaml,file_hash+row_count,"进项匹配不足会阻塞税负结论"
tax,税务/数电票,税率/计税方式,tax_rate_profile_YYYYMM.yaml,monthly,CTO_Tax,MANUAL_REVIEW,purple,"CTO",metadata/policies/policy_registry.yaml,human_review,"建筑安装/机加工/维修等税率需按合同口径复核"
contracts,合同与协议,合同主文件,contracts_YYYYMMDD.zip,weekly,CEO,READY,green,"CEO,CFO,CTO",metadata/lineage/evidence_index.jsonl,file_hash+index,"合同全文不上公开仓库，只存索引与 hash"
contracts,合同与协议,付款节点,contract_payment_schedule_YYYYMMDD.xlsx,weekly,CEO,READY,green,"CEO,CFO",metadata/schema_maps/contract_map.yaml,file_hash+mapping,"现金流、回款优先级核心"
contracts,合同与协议,签证/变更,change_orders_YYYYMMDD.xlsx,weekly,CEO,MANUAL_REVIEW,purple,"CEO,CFO,Reconciliation",metadata/lineage/evidence_index.jsonl,file_hash+approval_status,"支撑项目毛利 bridge"
contracts,合同与协议,质保/验收条款,retention_acceptance_terms_YYYYMMDD.xlsx,monthly,CEO,PARTIAL,yellow,"CEO,CFO",metadata/schema_maps/contract_map.yaml,file_hash+mapping,"影响回款和项目风险"
policy,政策证据包,科技人员与工时,tech_staff_timesheet_YYYYMM.xlsx,monthly,CTO_Tax,MANUAL_REVIEW,purple,"CTO",metadata/policies/high_tech_enterprise_evidence.json,file_hash+human_review,"高新/科小 readiness 核心证据"
policy,政策证据包,研发项目与费用,rd_project_expense_YYYYMM.xlsx,monthly,CTO_Tax,PARTIAL,yellow,"CTO,CFO",metadata/policies/r_and_d_expense_evidence.json,file_hash+mapping,"研发加计扣除与高新证据"
policy,政策证据包,知识产权/IP,ip_evidence_manifest_YYYYMM.json,quarterly,CTO_Tax,FAILED,red,"CTO",metadata/policies/high_tech_enterprise_evidence.json,evidence_index,"缺失则阻塞高新乐观判断"
policy,政策证据包,高新收入映射,hightech_revenue_map_YYYYMM.xlsx,quarterly,CTO_Tax,PARTIAL,yellow,"CTO",metadata/policies/qualification_readiness.json,file_hash+mapping,"高新产品/服务收入占比测算"
