parameter_id,value,unit,status,rationale,change_control
R7_FINAL_METRIC_INCLUSION_ALLOWED,0,boolean_integer,ACTIVE_R7,R7 links and reconciliation cannot grant final named Metric inclusion,immutable P0
FORMULA_UNKNOWN_METRIC_INCLUSION_ALLOWED,0,boolean_integer,ACTIVE_R8,unknown or inactive formula cannot enter a named Metric,immutable P0
FORMULA_ACTIVE_SCOPE_OVERLAP_ALLOWED,0,boolean_integer,ACTIVE_R8,active formula scope and date ranges must select uniquely,immutable P0
FORMULA_EXECUTABLE_TEST_VECTOR_REQUIRED,1,boolean_integer,ACTIVE_R8,every active formula profile executes at least one exact test vector,immutable P0
FORMULA_REQUEST_INPUT_CONFIG_HASH_BINDING_REQUIRED,1,boolean_integer,ACTIVE_R8,active formula profiles bind exact request input and config hashes,immutable P0
MANAGEMENT_OBSERVED_RATE_DEFAULT_ACTIVE,0,boolean_integer,ACTIVE_R8,historical observed management rate is regression evidence only,immutable P0
PAYROLL_AUTOMATIC_UNALLOCATED_SPREAD_ALLOWED,0,boolean_integer,ACTIVE_R8,payroll residual remains visible and is never automatically spread,immutable P0
PAYROLL_CONTROL_DELTA_MINOR,0,minor_units,ACTIVE_R8,payroll source component sum must equal control total,immutable P0
PAYROLL_TIME_CONTROL_DELTA_UNITS,0,time_units,ACTIVE_R8,project and unallocated time must equal approved time control,immutable P0
PAYROLL_ALLOCATION_DELTA_MINOR,0,minor_units,ACTIVE_R8,project allocations plus unallocated payroll must equal allocable employer cost,immutable P0
PAYROLL_CROSS_ENTITY_ALLOCATION_ALLOWED,0,boolean_integer,ACTIVE_R8,employee payroll cannot allocate across legal entities,immutable P0
PROJECT_TAX_COMPANY_RETURN_DEFAULT_ALLOCATION_ALLOWED,0,boolean_integer,ACTIVE_R8,company tax controls cannot become project tax without project policy,immutable P0
SOURCE_TAX_OVERWRITE_ALLOWED,0,boolean_integer,ACTIVE_R8,source tax and arithmetic differences remain visible,immutable P0
FX_RATE_ACTIVE_PRODUCT_0_2_ALLOWED,0,boolean_integer,ACTIVE_R8,FX is registered but deferred and blocks CNY-only product 0.2,scope and model change
MANUAL_ADJUSTMENT_AUTOMATIC_REVERSAL_ALLOWED,0,boolean_integer,ACTIVE_R8,adjustments require explicit append-only reversal records,immutable P0
R8_FINAL_METRIC_INCLUSION_ALLOWED,0,boolean_integer,ACTIVE_R8,R8 policy calculations cannot grant final named Metric inclusion,immutable P0
METRIC_DUAL_CHANNEL_DELTA_MINOR,0,minor_units,ACTIVE_R9,named Metric direct and independent control-minus-pools channels must agree,immutable P0
METRIC_SOURCE_CONSERVATION_DELTA_MINOR,0,minor_units,ACTIVE_R9,named Metric source count signed and absolute controls must conserve,immutable P0
FINAL_GENERATION_REQUIRES_ALL_GATES,1,boolean_integer,ACTIVE_R9,final generation requires sufficient input and validated calculation,immutable P0
BLOCKED_FINAL_LOOKING_WORKBOOK_ALLOWED,0,boolean_integer,ACTIVE_R9,blocked or failed runs cannot publish a final-looking workbook,immutable P0
OUTPUT_INDEX_ABSOLUTE_PATH_REQUIRED,1,boolean_integer,ACTIVE_R9,every terminal path is absolute and independently discoverable,immutable P0
RUN_SEAL_SELF_HASH_ALLOWED,0,boolean_integer,ACTIVE_R9,detached seal covers all finalized files except itself,immutable P0
INTERNAL_PROCESS_HANDOFF_FINAL_ONLY,1,boolean_integer,ACTIVE_R9,company-process locator exists only after final generation,immutable product boundary
WORKBOOK_FORMULA_CELL_ALLOWED,0,boolean_integer,ACTIVE_R9,final workbook is values-only and never recalculates source formulas,immutable P0
WORKBOOK_EXTERNAL_RELATIONSHIP_ALLOWED,0,boolean_integer,ACTIVE_R9,final workbook is self-contained,immutable P0
WORKBOOK_ACTIVE_CONTENT_ALLOWED,0,boolean_integer,ACTIVE_R9,macros DDE data connections and embedded active content are forbidden,immutable P0
WORKBOOK_VISIBLE_SHEET_COUNT,8,sheets,ACTIVE_R9,registered final workbook structure,output contract and tests must change together
WORKBOOK_RUNTIME_EXPLICIT_DEPENDENCY_REQUIRED,1,boolean_integer,ACTIVE_R9,Codex bundled artifact-tool runtime is injected and validated before final generation,dependency contract
FINANCE_OWNER_OR_AUTHORIZED_PERSON_MANAGED,0,boolean_integer,ACTIVE_R9,Skill generates and hands off but never assigns internal roles,immutable product boundary
REFERENCE_REPLAY_EXPECTED_PROJECT_COUNT,8,count,ACTIVE_R10,locked private reference acceptance set,Task Pack and private baseline change review
REFERENCE_REPLAY_FIDELITY_DELTA_MINOR,0,minor_units,ACTIVE_R10,every reference line sum and source total must replay exactly,immutable P0
CALCULATE_REFERENCE_IMPORT_ALLOWED,0,boolean_integer,ACTIVE_R10,reference display values cannot enter calculate imports or data flow,immutable P0
REFERENCE_SOURCE_ARITHMETIC_OVERWRITE_ALLOWED,0,boolean_integer,ACTIVE_R10,source and independently recomputed profit remain separate,immutable P0
REFERENCE_REPLAY_CALCULATION_EVALUATED,0,boolean_integer,ACTIVE_R10,replay is audit display and calculation status stays NOT_EVALUATED,immutable P0
REFERENCE_REPLAY_FINAL_WORKBOOK_ALLOWED,0,boolean_integer,ACTIVE_R10,replay never creates a formal calculate workbook,immutable P0
REFERENCE_REPLAY_INTERNAL_HANDOFF_ALLOWED,0,boolean_integer,ACTIVE_R10,replay is not a final company process artifact,immutable product boundary
CURRENT_PRODUCTION_BLOCK_EXIT_CODE,3,process_exit_code,ACTIVE_R11,current production preserves a hard business block,immutable P0
CURRENT_EXPECTED_BLOCK_HARNESS_PASS_EXIT_CODE,0,process_exit_code,ACTIVE_R11,harness success means exact expected block only,immutable P0
CURRENT_EXPECTED_BLOCKER_COUNT,9,count,ACTIVE_R11,reviewed current full-scope blocker contract,private expectation change review
CURRENT_EXPECTED_PROJECT_COUNT,8,count,ACTIVE_R11,reviewed current regression scope,private expectation change review
CURRENT_ACTUAL_COST_BASIS_COUNT,2,count,ACTIVE_R11,current actual cost requests both governed bases,immutable P0
CALCULATE_REFERENCE_SOURCE_BINDING_ALLOWED,0,boolean_integer,ACTIVE_R11,current calculate cannot bind reference reports or replay data,immutable P0
CURRENT_SOURCE_SNAPSHOT_OVERWRITE_ON_DRIFT_ALLOWED,0,boolean_integer,ACTIVE_R11,source drift requires append-only review and a new contract,immutable P0
